word,meaning
מִמְזָג,קוקטייל
מַסְכֵּת,סטטוסקופ
צַנְרָן,שנורקל
מַמְחֶה,בלנדר
כַּסְפָּר,פקיד בנק הנותן שירות ללקוחות
טְפִיפִית,קמט עור כעין יבלת או טפיחה
הֶסֵּעִית,"שאטל, רכב הסעות"
סְחַרְחָרָה,קרוסלה
כָּתֵף קָרָה,"אדישות, התנהגות קרירה ומתעלמת (בעיקר בביטוי 'הראה לו כתף קרה')"
חילק ובילק,"אנונימי, שאינו מוכר לציבור"
בין הזאב והרועה נבקע השה,"אדם חלש, ממעמד נמוך, אשר נפגע מעימות בין אנשים גדולים"
גמל פורח באוויר,דבר מוגזם שלעולם לא יתממש
הלך הזרזיר אצל העורב,"אדם מתחבר אל מי שמתאים לו בתכונותיו, אפשר לשפוט אדם לפי מי שהוא מתחבר אליו (בדרך כלל לשלילה)"
מגדלים פורחים באוויר,דבר דמיוני שאינו יכול להתממש
קנאת סופרים תרבה חכמה,התחרות גורמת לאנשים ללמוד ולהשכיל עוד
נֵבֶךְ,"עומק, מעמק, מקור; (במתמטיקה) שם עברי ל-""נדיר"" נקודה בכדור השמיים הנמצאת בדיוק מתחת לרגלי הצופה"
